original_word,new_word,case_variations,starting_letter,offset,direction
viersitzige,TÜRKE,"['ViersitZIGe', 'VIersitZIGe', 'ViErsitZIGe', 'VIErsitZIGe', 'VieRsitZIGe', 'VIeRsitZIGe', 'ViERsitZIGe', 'VIERsitZIGe', 'VierSitZIGe', 'VIerSitZIGe', 'ViErSitZIGe', 'VIErSitZIGe', 'VieRSitZIGe', 'VIeRSitZIGe', 'ViERSitZIGe', 'VIERSitZIGe', 'ViersItZIGe', 'VIersItZIGe', 'ViErsItZIGe', 'VIErsItZIGe', 'VieRsItZIGe', 'VIeRsItZIGe', 'ViERsItZIGe', 'VIERsItZIGe', 'VierSItZIGe', 'VIerSItZIGe', 'ViErSItZIGe', 'VIErSItZIGe', 'VieRSItZIGe', 'VIeRSItZIGe', 'ViERSItZIGe', 'VIERSItZIGe', 'ViersiTZIGe', 'VIersiTZIGe', 'ViErsiTZIGe', 'VIErsiTZIGe', 'VieRsiTZIGe', 'VIeRsiTZIGe', 'ViERsiTZIGe', 'VIERsiTZIGe', 'VierSiTZIGe', 'VIerSiTZIGe', 'ViErSiTZIGe', 'VIErSiTZIGe', 'VieRSiTZIGe', 'VIeRSiTZIGe', 'ViERSiTZIGe', 'VIERSiTZIGe', 'ViersITZIGe', 'VIersITZIGe', 'ViErsITZIGe', 'VIErsITZIGe', 'VieRsITZIGe', 'VIeRsITZIGe', 'ViERsITZIGe', 'VIERsITZIGe', 'VierSITZIGe', 'VIerSITZIGe', 'ViErSITZIGe', 'VIErSITZIGe', 'VieRSITZIGe', 'VIeRSITZIGe', 'ViERSITZIGe', 'VIERSITZIGe']",6,3,reverse
angelaufene,LUPFT,"['angeLAUFEne', 'AngeLAUFEne', 'aNgeLAUFEne', 'ANgeLAUFEne', 'anGeLAUFEne', 'AnGeLAUFEne', 'aNGeLAUFEne', 'ANGeLAUFEne', 'angELAUFEne', 'AngELAUFEne', 'aNgELAUFEne', 'ANgELAUFEne', 'anGELAUFEne', 'AnGELAUFEne', 'aNGELAUFEne', 'ANGELAUFEne', 'angeLAUFEnE', 'AngeLAUFEnE', 'aNgeLAUFEnE', 'ANgeLAUFEnE', 'anGeLAUFEnE', 'AnGeLAUFEnE', 'aNGeLAUFEnE', 'ANGeLAUFEnE', 'angELAUFEnE', 'AngELAUFEnE', 'aNgELAUFEnE', 'ANgELAUFEnE', 'anGELAUFEnE', 'AnGELAUFEnE', 'aNGELAUFEnE', 'ANGELAUFEnE']",3,3,reverse
mikrowelle,eDleM,"['MikroweLlE', 'MIkroweLlE', 'MiKroweLlE', 'MIKroweLlE', 'MikRoweLlE', 'MIkRoweLlE', 'MiKRoweLlE', 'MIKRoweLlE', 'MikrOweLlE', 'MIkrOweLlE', 'MiKrOweLlE', 'MIKrOweLlE', 'MikROweLlE', 'MIkROweLlE', 'MiKROweLlE', 'MIKROweLlE', 'MikroWeLlE', 'MIkroWeLlE', 'MiKroWeLlE', 'MIKroWeLlE', 'MikRoWeLlE', 'MIkRoWeLlE', 'MiKRoWeLlE', 'MIKRoWeLlE', 'MikrOWeLlE', 'MIkrOWeLlE', 'MiKrOWeLlE', 'MIKrOWeLlE', 'MikROWeLlE', 'MIkROWeLlE', 'MiKROWeLlE', 'MIKROWeLlE']",5,7,reverse
anteriore,RITEN,"['anTERIOre', 'AnTERIOre', 'aNTERIOre', 'ANTERIOre', 'anTERIORe', 'AnTERIORe', 'aNTERIORe', 'ANTERIORe', 'anTERIOrE', 'AnTERIOrE', 'aNTERIOrE', 'ANTERIOrE', 'anTERIORE', 'AnTERIORE', 'aNTERIORE', 'ANTERIORE']",1,3,reverse
existierend,TITRE,"['existIERENd', 'ExistIERENd', 'eXistIERENd', 'EXistIERENd', 'exIstIERENd', 'ExIstIERENd', 'eXIstIERENd', 'EXIstIERENd', 'exiStIERENd', 'ExiStIERENd', 'eXiStIERENd', 'EXiStIERENd', 'exIStIERENd', 'ExIStIERENd', 'eXIStIERENd', 'EXIStIERENd', 'exisTIERENd', 'ExisTIERENd', 'eXisTIERENd', 'EXisTIERENd', 'exIsTIERENd', 'ExIsTIERENd', 'eXIsTIERENd', 'EXIsTIERENd', 'exiSTIERENd', 'ExiSTIERENd', 'eXiSTIERENd', 'EXiSTIERENd', 'exISTIERENd', 'ExISTIERENd', 'eXISTIERENd', 'EXISTIERENd']",4,3,reverse
exekutieren,TITRE,"['exekutIEREN', 'eXekutIEREN', 'exEkutIEREN', 'eXEkutIEREN', 'exeKutIEREN', 'eXeKutIEREN', 'exEKutIEREN', 'eXEKutIEREN', 'exekUtIEREN', 'eXekUtIEREN', 'exEkUtIEREN', 'eXEkUtIEREN', 'exeKUtIEREN', 'eXeKUtIEREN', 'exEKUtIEREN', 'eXEKUtIEREN', 'exekuTIEREN', 'eXekuTIEREN', 'exEkuTIEREN', 'eXEkuTIEREN', 'exeKuTIEREN', 'eXeKuTIEREN', 'exEKuTIEREN', 'eXEKuTIEREN', 'exekUTIEREN', 'eXekUTIEREN', 'exEkUTIEREN', 'eXEkUTIEREN', 'exeKUTIEREN', 'eXeKUTIEREN', 'exEKUTIEREN', 'eXEKUTIEREN']",5,3,reverse
materielle,TRITE,"['matERIELle', 'MatERIELle', 'mAtERIELle', 'MAtERIELle', 'maTERIELle', 'MaTERIELle', 'mATERIELle', 'MATERIELle', 'matERIELlE', 'MatERIELlE', 'mAtERIELlE', 'MAtERIELlE', 'maTERIELlE', 'MaTERIELlE', 'mATERIELlE', 'MATERIELlE']",2,3,reverse
materielle,eDleM,"['MaterieLlE', 'MAterieLlE', 'MaTerieLlE', 'MATerieLlE', 'MatErieLlE', 'MAtErieLlE', 'MaTErieLlE', 'MATErieLlE', 'MateRieLlE', 'MAteRieLlE', 'MaTeRieLlE', 'MATeRieLlE', 'MatERieLlE', 'MAtERieLlE', 'MaTERieLlE', 'MATERieLlE', 'MaterIeLlE', 'MAterIeLlE', 'MaTerIeLlE', 'MATerIeLlE', 'MatErIeLlE', 'MAtErIeLlE', 'MaTErIeLlE', 'MATErIeLlE', 'MateRIeLlE', 'MAteRIeLlE', 'MaTeRIeLlE', 'MATeRIeLlE', 'MatERIeLlE', 'MAtERIeLlE', 'MaTERIeLlE', 'MATERIeLlE']",5,7,reverse
sektierertum,TITRE,"['sektIERERtum', 'SektIERERtum', 'sEktIERERtum', 'SEktIERERtum', 'seKtIERERtum', 'SeKtIERERtum', 'sEKtIERERtum', 'SEKtIERERtum', 'sekTIERERtum', 'SekTIERERtum', 'sEkTIERERtum', 'SEkTIERERtum', 'seKTIERERtum', 'SeKTIERERtum', 'sEKTIERERtum', 'SEKTIERERtum', 'sektIERERtUm', 'SektIERERtUm', 'sEktIERERtUm', 'SEktIERERtUm', 'seKtIERERtUm', 'SeKtIERERtUm', 'sEKtIERERtUm', 'SEKtIERERtUm', 'sekTIERERtUm', 'SekTIERERtUm', 'sEkTIERERtUm', 'SEkTIERERtUm', 'seKTIERERtUm', 'SeKTIERERtUm', 'sEKTIERERtUm', 'SEKTIERERtUm', 'sektIERERtuM', 'SektIERERtuM', 'sEktIERERtuM', 'SEktIERERtuM', 'seKtIERERtuM', 'SeKtIERERtuM', 'sEKtIERERtuM', 'SEKtIERERtuM', 'sekTIERERtuM', 'SekTIERERtuM', 'sEkTIERERtuM', 'SEkTIERERtuM', 'seKTIERERtuM', 'SeKTIERERtuM', 'sEKTIERERtuM', 'SEKTIERERtuM', 'sektIERERtUM', 'SektIERERtUM', 'sEktIERERtUM', 'SEktIERERtUM', 'seKtIERERtUM', 'SeKtIERERtUM', 'sEKtIERERtUM', 'SEKtIERERtUM', 'sekTIERERtUM', 'SekTIERERtUM', 'sEkTIERERtUM', 'SEkTIERERtUM', 'seKTIERERtUM', 'SeKTIERERtUM', 'sEKTIERERtUM', 'SEKTIERERtUM']",3,3,reverse
untermenüs,VITEN,"['unTERMEnüs', 'UnTERMEnüs', 'uNTERMEnüs', 'UNTERMEnüs', 'unTERMEnÜs', 'UnTERMEnÜs', 'uNTERMEnÜs', 'UNTERMEnÜs', 'unTERMEnüS', 'UnTERMEnüS', 'uNTERMEnüS', 'UNTERMEnüS', 'unTERMEnÜS', 'UnTERMEnÜS', 'uNTERMEnÜS', 'UNTERMEnÜS']",1,3,reverse
tendieren,TRÄNT,"['teNDiERen', 'TeNDiERen', 'tENDiERen', 'TENDiERen', 'teNDiEReN', 'TeNDiEReN', 'tENDiEReN', 'TENDiEReN']",1,3,reverse
content,ENTEN,"['ConTENT', 'COnTENT', 'CoNTENT', 'CONTENT']",2,3,reverse
lieblichkeit,malic,"['lieblichkeIt', 'LieblichkeIt', 'lIeblichkeIt', 'LIeblichkeIt', 'liEblichkeIt', 'LiEblichkeIt', 'lIEblichkeIt', 'LIEblichkeIt', 'lieBlichkeIt', 'LieBlichkeIt', 'lIeBlichkeIt', 'LIeBlichkeIt', 'liEBlichkeIt', 'LiEBlichkeIt', 'lIEBlichkeIt', 'LIEBlichkeIt', 'liebLichkeIt', 'LiebLichkeIt', 'lIebLichkeIt', 'LIebLichkeIt', 'liEbLichkeIt', 'LiEbLichkeIt', 'lIEbLichkeIt', 'LIEbLichkeIt', 'lieBLichkeIt', 'LieBLichkeIt', 'lIeBLichkeIt', 'LIeBLichkeIt', 'liEBLichkeIt', 'LiEBLichkeIt', 'lIEBLichkeIt', 'LIEBLichkeIt', 'lieblichkeIT', 'LieblichkeIT', 'lIeblichkeIT', 'LIeblichkeIT', 'liEblichkeIT', 'LiEblichkeIT', 'lIEblichkeIT', 'LIEblichkeIT', 'lieBlichkeIT', 'LieBlichkeIT', 'lIeBlichkeIT', 'LIeBlichkeIT', 'liEBlichkeIT', 'LiEBlichkeIT', 'lIEBlichkeIT', 'LIEBlichkeIT', 'liebLichkeIT', 'LiebLichkeIT', 'lIebLichkeIT', 'LIebLichkeIT', 'liEbLichkeIT', 'LiEbLichkeIT', 'lIEbLichkeIT', 'LIEbLichkeIT', 'lieBLichkeIT', 'LieBLichkeIT', 'lIeBLichkeIT', 'LIeBLichkeIT', 'liEBLichkeIT', 'LiEBLichkeIT', 'lIEBLichkeIT', 'LIEBLichkeIT']",4,4,reverse
bettfertig,EITLE,"['bettFERTIg', 'BettFERTIg', 'bEttFERTIg', 'BEttFERTIg', 'beTtFERTIg', 'BeTtFERTIg', 'bETtFERTIg', 'BETtFERTIg', 'betTFERTIg', 'BetTFERTIg', 'bEtTFERTIg', 'BEtTFERTIg', 'beTTFERTIg', 'BeTTFERTIg', 'bETTFERTIg', 'BETTFERTIg']",3,3,reverse
stofftiere,TITRE,"['StofftIERE', 'STofftIERE', 'StOfftIERE', 'STOfftIERE', 'StoFftIERE', 'SToFftIERE', 'StOFftIERE', 'STOFftIERE', 'StofFtIERE', 'STofFtIERE', 'StOfFtIERE', 'STOfFtIERE', 'StoFFtIERE', 'SToFFtIERE', 'StOFFtIERE', 'STOFFtIERE', 'StoffTIERE', 'SToffTIERE', 'StOffTIERE', 'STOffTIERE', 'StoFfTIERE', 'SToFfTIERE', 'StOFfTIERE', 'STOFfTIERE', 'StofFTIERE', 'STofFTIERE', 'StOfFTIERE', 'STOfFTIERE', 'StoFFTIERE', 'SToFFTIERE', 'StOFFTIERE', 'STOFFTIERE']",5,3,reverse
tierfreunden,LITRE,"['tIERFReunden', 'TIERFReunden', 'tIERFReUnden', 'TIERFReUnden', 'tIERFReuNden', 'TIERFReuNden', 'tIERFReUNden', 'TIERFReUNden', 'tIERFReunDen', 'TIERFReunDen', 'tIERFReUnDen', 'TIERFReUnDen', 'tIERFReuNDen', 'TIERFReuNDen', 'tIERFReUNDen', 'TIERFReUNDen', 'tIERFReundEn', 'TIERFReundEn', 'tIERFReUndEn', 'TIERFReUndEn', 'tIERFReuNdEn', 'TIERFReuNdEn', 'tIERFReUNdEn', 'TIERFReUNdEn', 'tIERFReunDEn', 'TIERFReunDEn', 'tIERFReUnDEn', 'TIERFReUnDEn', 'tIERFReuNDEn', 'TIERFReuNDEn', 'tIERFReUNDEn', 'TIERFReUNDEn', 'tIERFReundeN', 'TIERFReundeN', 'tIERFReUndeN', 'TIERFReUndeN', 'tIERFReuNdeN', 'TIERFReuNdeN', 'tIERFReUNdeN', 'TIERFReUNdeN', 'tIERFReunDeN', 'TIERFReunDeN', 'tIERFReUnDeN', 'TIERFReUnDeN', 'tIERFReuNDeN', 'TIERFReuNDeN', 'tIERFReUNDeN', 'TIERFReUNDeN', 'tIERFReundEN', 'TIERFReundEN', 'tIERFReUndEN', 'TIERFReUndEN', 'tIERFReuNdEN', 'TIERFReuNdEN', 'tIERFReUNdEN', 'TIERFReUNdEN', 'tIERFReunDEN', 'TIERFReunDEN', 'tIERFReUnDEN', 'TIERFReUnDEN', 'tIERFReuNDEN', 'TIERFReuNDEN', 'tIERFReUNDEN', 'TIERFReUNDEN']",0,3,reverse
stressiges,eSsIg,"['stressIgeS', 'StressIgeS', 'sTressIgeS', 'STressIgeS', 'stRessIgeS', 'StRessIgeS', 'sTRessIgeS', 'STRessIgeS', 'strEssIgeS', 'StrEssIgeS', 'sTrEssIgeS', 'STrEssIgeS', 'stREssIgeS', 'StREssIgeS', 'sTREssIgeS', 'STREssIgeS', 'streSsIgeS', 'StreSsIgeS', 'sTreSsIgeS', 'STreSsIgeS', 'stReSsIgeS', 'StReSsIgeS', 'sTReSsIgeS', 'STReSsIgeS', 'strESsIgeS', 'StrESsIgeS', 'sTrESsIgeS', 'STrESsIgeS', 'stRESsIgeS', 'StRESsIgeS', 'sTRESsIgeS', 'STRESsIgeS']",5,1,reverse
bildmedien,MElDe,"['biLDmEdien', 'BiLDmEdien', 'bILDmEdien', 'BILDmEdien', 'biLDmEdIen', 'BiLDmEdIen', 'bILDmEdIen', 'BILDmEdIen', 'biLDmEdiEn', 'BiLDmEdiEn', 'bILDmEdiEn', 'BILDmEdiEn', 'biLDmEdIEn', 'BiLDmEdIEn', 'bILDmEdIEn', 'BILDmEdIEn', 'biLDmEdieN', 'BiLDmEdieN', 'bILDmEdieN', 'BILDmEdieN', 'biLDmEdIeN', 'BiLDmEdIeN', 'bILDmEdIeN', 'BILDmEdIeN', 'biLDmEdiEN', 'BiLDmEdiEN', 'bILDmEdiEN', 'BILDmEdiEN', 'biLDmEdIEN', 'BiLDmEdIEN', 'bILDmEdIEN', 'BILDmEdIEN']",1,7,reverse
infertilität,FREIT,"['infeRTILItät', 'InfeRTILItät', 'iNfeRTILItät', 'INfeRTILItät', 'inFeRTILItät', 'InFeRTILItät', 'iNFeRTILItät', 'INFeRTILItät', 'infERTILItät', 'InfERTILItät', 'iNfERTILItät', 'INfERTILItät', 'inFERTILItät', 'InFERTILItät', 'iNFERTILItät', 'INFERTILItät', 'infeRTILItÄt', 'InfeRTILItÄt', 'iNfeRTILItÄt', 'INfeRTILItÄt', 'inFeRTILItÄt', 'InFeRTILItÄt', 'iNFeRTILItÄt', 'INFeRTILItÄt', 'infERTILItÄt', 'InfERTILItÄt', 'iNfERTILItÄt', 'INfERTILItÄt', 'inFERTILItÄt', 'InFERTILItÄt', 'iNFERTILItÄt', 'INFERTILItÄt', 'infeRTILItäT', 'InfeRTILItäT', 'iNfeRTILItäT', 'INfeRTILItäT', 'inFeRTILItäT', 'InFeRTILItäT', 'iNFeRTILItäT', 'INFeRTILItäT', 'infERTILItäT', 'InfERTILItäT', 'iNfERTILItäT', 'INfERTILItäT', 'inFERTILItäT', 'InFERTILItäT', 'iNFERTILItäT', 'INFERTILItäT', 'infeRTILItÄT', 'InfeRTILItÄT', 'iNfeRTILItÄT', 'INfeRTILItÄT', 'inFeRTILItÄT', 'InFeRTILItÄT', 'iNFeRTILItÄT', 'INFeRTILItÄT', 'infERTILItÄT', 'InfERTILItÄT', 'iNfERTILItÄT', 'INfERTILItÄT', 'inFERTILItÄT', 'InFERTILItÄT', 'iNFERTILItÄT', 'INFERTILItÄT']",3,3,reverse
preisschild,aegIS,"['preIsSChild', 'PreIsSChild', 'pReIsSChild', 'PReIsSChild', 'preIsSCHild', 'PreIsSCHild', 'pReIsSCHild', 'PReIsSCHild', 'preIsSChIld', 'PreIsSChIld', 'pReIsSChIld', 'PReIsSChIld', 'preIsSCHIld', 'PreIsSCHIld', 'pReIsSCHIld', 'PReIsSCHIld', 'preIsSChiLd', 'PreIsSChiLd', 'pReIsSChiLd', 'PReIsSChiLd', 'preIsSCHiLd', 'PreIsSCHiLd', 'pReIsSCHiLd', 'PReIsSCHiLd', 'preIsSChILd', 'PreIsSChILd', 'pReIsSChILd', 'PReIsSChILd', 'preIsSCHILd', 'PreIsSCHILd', 'pReIsSCHILd', 'PReIsSCHILd', 'preIsSChilD', 'PreIsSChilD', 'pReIsSChilD', 'PReIsSChilD', 'preIsSCHilD', 'PreIsSCHilD', 'pReIsSCHilD', 'PReIsSCHilD', 'preIsSChIlD', 'PreIsSChIlD', 'pReIsSChIlD', 'PReIsSChIlD', 'preIsSCHIlD', 'PreIsSCHIlD', 'pReIsSCHIlD', 'PReIsSCHIlD', 'preIsSChiLD', 'PreIsSChiLD', 'pReIsSChiLD', 'PReIsSChiLD', 'preIsSCHiLD', 'PreIsSCHiLD', 'pReIsSCHiLD', 'PReIsSCHiLD', 'preIsSChILD', 'PreIsSChILD', 'pReIsSChILD', 'PReIsSChILD', 'preIsSCHILD', 'PreIsSCHILD', 'pReIsSCHILD', 'PReIsSCHILD']",2,1,reverse
ebenbürtige,REIGN,"['ebenBüRTIGE', 'EbenBüRTIGE', 'eBenBüRTIGE', 'EBenBüRTIGE', 'ebEnBüRTIGE', 'EbEnBüRTIGE', 'eBEnBüRTIGE', 'EBEnBüRTIGE', 'ebeNBüRTIGE', 'EbeNBüRTIGE', 'eBeNBüRTIGE', 'EBeNBüRTIGE', 'ebENBüRTIGE', 'EbENBüRTIGE', 'eBENBüRTIGE', 'EBENBüRTIGE']",3,3,reverse
reißerische,SeeKS,"['reiSSerische', 'ReiSSerische', 'reiSSeRische', 'ReiSSeRische', 'reiSSerIsche', 'ReiSSerIsche', 'reiSSeRIsche', 'ReiSSeRIsche', 'reiSSeriSche', 'ReiSSeriSche', 'reiSSeRiSche', 'ReiSSeRiSche', 'reiSSerISche', 'ReiSSerISche', 'reiSSeRISche', 'ReiSSeRISche', 'reiSSerisChe', 'ReiSSerisChe', 'reiSSeRisChe', 'ReiSSeRisChe', 'reiSSerIsChe', 'ReiSSerIsChe', 'reiSSeRIsChe', 'ReiSSeRIsChe', 'reiSSeriSChe', 'ReiSSeriSChe', 'reiSSeRiSChe', 'ReiSSeRiSChe', 'reiSSerISChe', 'ReiSSerISChe', 'reiSSeRISChe', 'ReiSSeRISChe', 'reiSSeriscHe', 'ReiSSeriscHe', 'reiSSeRiscHe', 'ReiSSeRiscHe', 'reiSSerIscHe', 'ReiSSerIscHe', 'reiSSeRIscHe', 'ReiSSeRIscHe', 'reiSSeriScHe', 'ReiSSeriScHe', 'reiSSeRiScHe', 'ReiSSeRiScHe', 'reiSSerIScHe', 'ReiSSerIScHe', 'reiSSeRIScHe', 'ReiSSeRIScHe', 'reiSSerisCHe', 'ReiSSerisCHe', 'reiSSeRisCHe', 'ReiSSeRisCHe', 'reiSSerIsCHe', 'ReiSSerIsCHe', 'reiSSeRIsCHe', 'ReiSSeRIsCHe', 'reiSSeriSCHe', 'ReiSSeriSCHe', 'reiSSeRiSCHe', 'ReiSSeRiSCHe', 'reiSSerISCHe', 'ReiSSerISCHe', 'reiSSeRISCHe', 'ReiSSeRISCHe', 'reiSSerischE', 'ReiSSerischE', 'reiSSeRischE', 'ReiSSeRischE', 'reiSSerIschE', 'ReiSSerIschE', 'reiSSeRIschE', 'ReiSSeRIschE', 'reiSSeriSchE', 'ReiSSeriSchE', 'reiSSeRiSchE', 'ReiSSeRiSchE', 'reiSSerISchE', 'ReiSSerISchE', 'reiSSeRISchE', 'ReiSSeRISchE', 'reiSSerisChE', 'ReiSSerisChE', 'reiSSeRisChE', 'ReiSSeRisChE', 'reiSSerIsChE', 'ReiSSerIsChE', 'reiSSeRIsChE', 'ReiSSeRIsChE', 'reiSSeriSChE', 'ReiSSeriSChE', 'reiSSeRiSChE', 'ReiSSeRiSChE', 'reiSSerISChE', 'ReiSSerISChE', 'reiSSeRISChE', 'ReiSSeRISChE', 'reiSSeriscHE', 'ReiSSeriscHE', 'reiSSeRiscHE', 'ReiSSeRiscHE', 'reiSSerIscHE', 'ReiSSerIscHE', 'reiSSeRIscHE', 'ReiSSeRIscHE', 'reiSSeriScHE', 'ReiSSeriScHE', 'reiSSeRiScHE', 'ReiSSeRiScHE', 'reiSSerIScHE', 'ReiSSerIScHE', 'reiSSeRIScHE', 'ReiSSeRIScHE', 'reiSSerisCHE', 'ReiSSerisCHE', 'reiSSeRisCHE', 'ReiSSeRisCHE', 'reiSSerIsCHE', 'ReiSSerIsCHE', 'reiSSeRIsCHE', 'ReiSSeRIsCHE', 'reiSSeriSCHE', 'ReiSSeriSCHE', 'reiSSeRiSCHE', 'ReiSSeRiSCHE', 'reiSSerISCHE', 'ReiSSerISCHE', 'reiSSeRISCHE', 'ReiSSeRISCHE']",1,1,reverse
