original_word,new_word,similarity_score
schupfnudeln,LAUB,0.8872625231742859
wohnidee,biga,0.8809630870819092
raumduft,VÖGTe,0.872225821018219
bayerin,RITS,0.8713445663452148
gemäuer,TOmE,0.8627867102622986
vergeudung,dUVET,0.8524208664894104
gemäuern,TOmE,0.844913899898529
ausgestrecktem,kaSse,0.8424723744392395
leseecke,kaSSe,0.8267377614974976
leseecken,kaSSe,0.8145893812179565
seitendeckung,UkaSe,0.8124544024467468
pappnase,NAPA,0.8107110261917114
brieftasche,PELT,0.8086204528808594
herkunftstäuschung,NUDeLN,0.8045573234558105
gugelhupfform,LAUB,0.7994546890258789
prinzipal,PARIA,0.7915425300598145
witzigkeit,ERKER,0.7912894487380981
saakaschwili,eCCe,0.783680260181427
stützrädern,DiKE,0.7798975706100464
mittelschweden,TÄTER,0.7794075012207031
weltwährung,GÜTe,0.7716048955917358
gemüsepfannen,PLAT,0.7685036063194275
artikelreihe,BREI,0.762925386428833
bayernwerk,ZITS,0.759987473487854
brustpartie,REIH,0.7591559886932373
tipparbeit,PAARE,0.7549530863761902
lecce,SacS,0.7547596096992493
abendgymnasiums,gYMs,0.7521166801452637
kuddelmuddel,MUlm,0.7507764101028442
herkunftstäuschung,NUDeL,0.7491819858551025
tüftlern,FELGe,0.7483038902282715
seelentröster,MiEN,0.7478683590888977
freyja,STIL,0.7474069595336914
mitteltöner,MeER,0.7440248727798462
tüftler,FELGe,0.7437652349472046
susis,gIgUe,0.7399234771728516
wahnideen,biga,0.7258809804916382
gefrierfach,LILT,0.7213804721832275
pityriasis,PRISE,0.7200393080711365
unterscheidbarkeit,HÄRTE,0.7193195223808289
vierseithof,BERM,0.717908501625061
rückfragen,PILZ,0.7123812437057495
rückfrage,PILZ,0.7101248502731323
letztbegründung,THEKE,0.7080416679382324
gemeindeedikt,MEMmE,0.7071831226348877
feldgleichungen,mÄDeL,0.7062592506408691
erlenmeyerkolben,ZITS,0.7059627175331116
tippabgabe,PAARE,0.7025489807128906
bleiakku,WiCKS,0.6998813152313232
mittelmeerinsel,RITTE,0.6935945749282837
unterscheidbarkeit,HÄRTEN,0.691814661026001
persönlichkeitstypen,SERF,0.6904137134552002
kälteerzeugung,NUTTE,0.6872942447662354
béchamelsauce,halit,0.6865490674972534
synthesegas,gAsSe,0.668121337890625
duftkerzen,KITZEL,0.6661245822906494
leseecke,aSSeS,0.6646666526794434
zweigwerk,SusIS,0.6643052697181702
luftzirkulation,ZIRKEL,0.6638175249099731
abfangjäger,bung,0.6635318398475647
cayennepfeffer,SOCa,0.662996768951416
teezeremonie,TITTE,0.6627073287963867
störgeräusch,DiMe,0.6615549921989441
unterströmung,MiEN,0.6556801199913025
untertypen,SEITEN,0.6521388292312622
bypässe,DaSH,0.6492376327514648
trittplatten,FAERIE,0.6453052759170532
pityriasis,RISER,0.6449761390686035
hitzebeständigkeit,RÄNDeR,0.6441094875335693
wollmäusen,TOde,0.6429819464683533
kleinreparaturen,PATIN,0.6388301849365234
leseecken,aSSeS,0.6384013295173645
gartengemüse,weLT,0.6379422545433044
spritzigkeit,ERKER,0.6336483359336853
heftklammer,ZELT,0.6329455375671387
mittelbayerische,RITS,0.6298742890357971
staatswappen,TAPPE,0.6172522902488708
sitzsäcke,DyKE,0.6166491508483887
stippvisiten,MARE,0.6165797710418701
franziskanerpater,PAIL,0.6143964529037476
schöpflöffel,FLAM,0.6127954721450806
schöpflöffel,fLAM,0.6127954721450806
überbleibsel,veLd,0.6127110123634338
klingonen,gong,0.6105243563652039
siegchancen,SasS,0.6064445972442627
vergussmasse,YeWs,0.6049762964248657
zitherspieler,BERK,0.597944974899292
fünftürer,IGeLN,0.5967481136322021
geodät,TöNE,0.5916322469711304
kellerführung,GlITZ,0.5902684926986694
krypta,PEAS,0.5855605602264404
mittvierzigerin,TÜRME,0.5847915410995483
schulmädchen,LOde,0.5841808319091797
synthesegas,gAsSeS,0.5824031829833984
gemeindepfarrer,PLAT,0.5818735361099243
brieftaube,PELT,0.5809415578842163
kuddelmuddel,EUle,0.5785802602767944
hauptmuskelgruppen,UVEA,0.5745972394943237
fabrikhallen,amid,0.5710857510566711
bekassinen,KeCkS,0.5704876184463501
spitzbogen,node,0.5691205859184265
myanmars,YIPS,0.5677436590194702
kuckucksuhr,Weka,0.567298412322998
reetdach,TUFF,0.5664162039756775
dokumentationsreihe,BRENT,0.5637513995170593
persönlichkeitstyp,SERF,0.5619335174560547
spitzbogenfenster,node,0.560003936290741
terrassenufer,LUNTE,0.5581252574920654
ehefähigkeitszeugnis,sUSis,0.5579096674919128
leistungsgerecht,aSses,0.5576215982437134
zither,BERK,0.5523234605789185
herdplatte,ADIT,0.5517908334732056
fünftürer,IGeL,0.5504196286201477
vorzeigebeispiel,SISsIS,0.5494840145111084
automobilgeschichte,lido,0.5482503175735474
störfallverordnung,DIMe,0.5445111989974976
anleihemärkte,GeLd,0.5406252145767212
martello,mädeL,0.540580153465271
cayennepfeffer,LATS,0.5401686429977417
auftragswerk,ZIEL,0.5388755202293396
département,PARd,0.5361466407775879
weltkirchenleitung,ERZE,0.5361464023590088
grundkenntnisse,ENNUI,0.5335026979446411
guantánamo,YAWs,0.5319541096687317
prinzipalmarkt,PARIA,0.5268669724464417
werkplatz,FAZIT,0.5266727805137634
führerhauptquartier,TREIB,0.5244385004043579
loggien,SIssy,0.5244033336639404
werkplanung,FAZIT,0.5233739018440247
befreiungsversuch,aUKS,0.5223323702812195
pflegebedürftigkeit,vELd,0.5219062566757202
kettenstreben,TIETZ,0.5212008357048035
plattenstärke,IDeE,0.5207716226577759
spätmittelalter,VEDa,0.5191105604171753
gesetzeskunde,WieSe,0.516627848148346
mittelstädte,ENDE,0.5156922340393066
kompetenzvermittlung,FETA,0.5154720544815063
konzeptkünstler,FEAT,0.5140386819839478
neuauflage,FLUT,0.5131298303604126
konzeptlosigkeit,FEAT,0.512866199016571
kettenstrebe,TIETZ,0.5121967792510986
typbezeichnung,HASE,0.5078650712966919
schreibplatte,FAHRT,0.5073042511940002
schöpfungsmythos,OYes,0.5050079822540283
beuys,eMUS,0.504535973072052
wigwam,YAws,0.5009521245956421
mittelmeerraum,PITTER,0.5001768469810486
auftragsarbeit,THIEL,0.4997562766075134
hyperämie,DiTAS,0.4989611804485321
eisenhüttenstädter,ENDE,0.4976268410682678
ermittlungsgruppe,TAUFE,0.4936758279800415
mairie,PRYS,0.4915064573287964
schneeauflage,sASS,0.4884419739246368
staatsapparat,PAPPE,0.4875824451446533
schönheitsfleck,FLYER,0.4866790473461151
langhaarschneider,gang,0.4866123795509338
holzbock,lode,0.4855619668960571
trillerpfeifen,LAIE,0.4855618476867676
zeitlupentempo,TAUFE,0.4843976199626922
montessoripädagogik,DaRI,0.4842451810836792
moorboden,book,0.4820055365562439
fleecejacken,SaSS,0.4808957576751709
gewinnmultiplikator,AkKuS,0.4805720746517181
scrambler,PIXY,0.4804447293281555
mobilfunkbereich,lido,0.4803721010684967
grafenrheinfeld,BINT,0.480262279510498
leistungsentfaltung,PLENTY,0.4797200560569763
einspritzpumpen,TAKER,0.4794910848140716
ptolemäus,TOeD,0.4790602624416351
königsdisziplinen,FARN,0.4788960516452789
wühlmäuse,TOll,0.4785096049308777
neuseeländerin,NeEM,0.4771478176116943
gründungsmythos,OYes,0.4758808612823486
eigenbeteiligung,sISsIS,0.4758402109146118
sesshaftwerdung,NUDITY,0.4744281768798828
schutzräume,DiKE,0.4734554886817932
geodät,TöLE,0.4734182953834533
auftragsbearbeitung,THIEL,0.4725136160850525
dyspnoe,NAYS,0.4705787897109985
risorgimento,kind,0.4690073430538177
theologiegeschichte,lino,0.4688653945922851
antiquitätengeschäft,ELDeR,0.4688014984130859
magmakammer,kAYs,0.4656311273574829
wetterbeständigkeit,tWEN,0.4647976458072662
leichtverpackungen,WicKS,0.4622491598129272
eintöpfen,AMeN,0.4589264392852783
hochzeitsflug,FLYER,0.4556321501731872
personalentscheidung,YENTA,0.4549915194511413
kontaktvermittlung,FEEN,0.453964501619339
staatssekretariats,RIPPE,0.45383420586586
mängelrügen,GiFT,0.4528085887432098
soldatenfriedhöfe,bÄTE,0.4521121382713318
wettbüro,GhEE,0.4515478312969208
feuchtigkeitszufuhr,dUVeT,0.4512426853179931
löschpapier,TRAB,0.4501792192459106
wollmäusen,TOll,0.4494114816188812
kapitänleutnant,ENDe,0.4491158425807953
geodäsie,TöNE,0.4484091103076935
kuckucksuhren,Weka,0.447940319776535
pflegebedürftigen,vELd,0.4479251205921173
kaiserswerther,weKA,0.4477718770503998
beitrittserklärung,ZIER,0.4467904567718506
staatsapparate,PAPPE,0.4461914300918579
dislokation,FYRD,0.4447941184043884
friedhofsgärtner,NEIL,0.4443849325180053
friedhofsgärtnerei,NEIL,0.4440718293190002
luftdichtheit,ERDE,0.4438074231147766
gepiercten,EXIT,0.4424746632575989
umweltwärme,GÜTe,0.4417314529418945
partygänger,DüSE,0.4408791363239288
sündenpfuhl,ULAN,0.4394375681877136
ladislaus,FYRD,0.4360113143920898
essays,eMCeeS,0.4357907176017761
staatssekretariat,RIPPE,0.4355068802833557
siegchance,SasS,0.435239166021347
teenagerin,RITTE,0.4350419640541076
brieföffner,Toff,0.4331669807434082
gesamtlänge,FlUe,0.432457834482193
luftdichtigkeit,ERDE,0.4322801828384399
dechiffrierung,TRILL,0.4315693080425262
emaille,KAYS,0.4284833073616028
mitbeteiligung,TETHER,0.4275400042533874
querschnittsfläche,fLYER,0.4270786643028259
angriffsdrittel,IDYLL,0.4268932938575744
emaillierung,KAYS,0.4244095981121063
sommersemester,MeMme,0.4238394200801849
verkehrspsychologen,IMAM,0.4235976338386535
reitbeteiligung,TETHER,0.4235569834709167
seneca,CaSe,0.4232388436794281
militärpiloten,RAID,0.4224157929420471
beziehungsgeflechte,aSses,0.4211549460887909
fauteuils,RUTE,0.4197732806205749
wettbüros,GhEE,0.418280154466629
büromaterialien,PRIG,0.4168222546577453
militärstützpunkt,EGeR,0.4161656498908996
rettungsgassen,gAses,0.4142404794692993
experiments,YENTA,0.4114899635314941
pressevorführung,GlIA,0.4108511209487915
hydrotherapie,RAPIDS,0.4102885723114013
seenotrettung,TWEET,0.4096903800964355
konzeptfahrzeug,PLEAT,0.4094439744949341
reggae,SAsS,0.4086204171180725
reggae,SAss,0.4086204171180725
kakaomasse,kohm,0.4074690341949463
verbrauchertipps,REIH,0.4068737328052521
neuseeländern,NeEM,0.4048037827014923
paketnummer,NETZ,0.4038667678833008
wettfahrtleitung,tUFf,0.4036335349082947
spritverbrauch,MERI,0.4036136865615845
essayistin,IMAge,0.4022542834281921
knipser,YARN,0.4011927843093872
seelenstriptease,gASSe,0.3995667397975921
schlossbesichtigung,cIggy,0.3987334966659546
zweieinhalbstündigen,RÄNGe,0.3979823887348175
kunststoffpaletten,PALL,0.3978546857833862
stromlinienförmigen,niko,0.3966473937034607
amygdala,sOYA,0.3947941064834595
wirkkräfte,MinX,0.3938190042972564
drehmomentverlauf,FITMENT,0.3934022188186645
futterqualität,gULE,0.39324551820755
beitragsrückgewähr,GiER,0.3912689089775085
militärpiloten,RAIDeR,0.3899487257003784
malaien,PRYS,0.3892067968845367
essaysammlung,eMCeeS,0.3885020613670349
kompromisslosigkeit,niko,0.3879780173301697
newsmeldung,YewS,0.3879648447036743
