original_word,new_word,case_variations,starting_letter,offset,direction
institutes,TEUER,"['instiTUTES', 'iNstiTUTES', 'inStiTUTES', 'iNStiTUTES', 'insTiTUTES', 'iNsTiTUTES', 'inSTiTUTES', 'iNSTiTUTES', 'instITUTES', 'iNstITUTES', 'inStITUTES', 'iNStITUTES', 'insTITUTES', 'iNsTITUTES', 'inSTITUTES', 'iNSTITUTES']",4,3,reverse
sleepier,TRATT,"['sleEPIER', 'sLeEPIER', 'slEEPIER', 'sLEEPIER']",2,3,reverse
supervisee,MITAU,"['suPERVIsee', 'SuPERVIsee', 'sUPERVIsee', 'SUPERVIsee', 'suPERVIsEe', 'SuPERVIsEe', 'sUPERVIsEe', 'SUPERVIsEe', 'suPERVIseE', 'SuPERVIseE', 'sUPERVIseE', 'SUPERVIseE', 'suPERVIsEE', 'SuPERVIsEE', 'sUPERVIsEE', 'SUPERVIsEE']",1,3,reverse
content,ENTEN,"['ConTENT', 'COnTENT', 'CoNTENT', 'CONTENT']",2,3,reverse
classicism,eIcKe,"['clasSicISm', 'ClasSicISm', 'cLasSicISm', 'CLasSicISm', 'clAsSicISm', 'ClAsSicISm', 'cLAsSicISm', 'CLAsSicISm', 'claSSicISm', 'ClaSSicISm', 'cLaSSicISm', 'CLaSSicISm', 'clASSicISm', 'ClASSicISm', 'cLASSicISm', 'CLASSicISm']",4,1,reverse
trendiest,TRÄNT,"['treNDiESt', 'TreNDiESt', 'tReNDiESt', 'TReNDiESt', 'trENDiESt', 'TrENDiESt', 'tRENDiESt', 'TRENDiESt']",2,3,reverse
teething,BETTE,"['tEETHIng', 'TEETHIng', 'tEETHInG', 'TEETHInG']",0,3,reverse
attentions,RENTE,"['attENTIOns', 'AttENTIOns', 'aTtENTIOns', 'ATtENTIOns', 'atTENTIOns', 'AtTENTIOns', 'aTTENTIOns', 'ATTENTIOns', 'attENTIONs', 'AttENTIONs', 'aTtENTIONs', 'ATtENTIONs', 'atTENTIONs', 'AtTENTIONs', 'aTTENTIONs', 'ATTENTIONs', 'attENTIOnS', 'AttENTIOnS', 'aTtENTIOnS', 'ATtENTIOnS', 'atTENTIOnS', 'AtTENTIOnS', 'aTTENTIOnS', 'ATTENTIOnS', 'attENTIONS', 'AttENTIONS', 'aTtENTIONS', 'ATtENTIONS', 'atTENTIONS', 'AtTENTIONS', 'aTTENTIONS', 'ATTENTIONS']",2,3,reverse
fielded,EDLeM,"['fieLdED', 'fIeLdED']",1,7,reverse
potentiate,RENTE,"['potENTIAte', 'PotENTIAte', 'pOtENTIAte', 'POtENTIAte', 'poTENTIAte', 'PoTENTIAte', 'pOTENTIAte', 'POTENTIAte', 'potENTIAtE', 'PotENTIAtE', 'pOtENTIAtE', 'POtENTIAtE', 'poTENTIAtE', 'PoTENTIAtE', 'pOTENTIAtE', 'POTENTIAtE']",1,3,reverse
